"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a new auth token to use for access to the PUT and DELETE /booking","109","Creates a new auth token with valid credentials","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnCreatedToken"
"Updates a current booking with a partial payload: price and booking dates","444","Partial updates a current booking by price and booking dates","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldPartialUpdatePriceAndDatesBooking"
"Returns not found booking by an unexist id","91","Returns not found booking by an unexist id","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundBookingByFilterId"
"Gets bad credentials error when trying to create a token with an incorrect password","100","Gets bad credentials error when trying to create a token with an incorrect password","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBadCredentialsWhenTryCreateTokenWithIncorrectPassword"
"Returns the ids of all the bookings that exist within the API","335","Returns all bookings ids","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllBookings"
"A simple health check endpoint to confirm whether the API is up and running.","78","Gets health check endpoint","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnHealthCheckEndpoint"
"Returns the ids of the bookings by full name","3042","Returns bookings by full name","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllUserBookingsWhenGetBookingsByFilterFullName"
"Full updates a current booking","504","Full updates a current booking","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldFullUpdateBooking"
"Deletes a booking from the API. Requires an authorization token to be set in the header or a Basic auth header","2967","Deletes a booking","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldDeleteBooking"
"Returns not found the bookings by full name","175","Returns not found the bookings by full name","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundUserBookingsWhenGetBookingsByFilterFullName"
"Try to delete bookings without an auth token","529","Try to delete bookings without an auth token","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldForbidDeleteBookingWithoutAuthToken"
"Returns a specific booking based upon the booking id provided","2945","Returns a booking by id","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBookingByFilterId"
"Creates a new booking in the API","2976","Creates a new booking","","2026-07-10","passed","2026-07-10","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldCreateNewBooking"
