"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a new auth token to use for access to the PUT and DELETE /booking","288","Creates a new auth token with valid credentials","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnCreatedToken"
"Returns the ids of the bookings by full name","4466","Returns bookings by full name","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllUserBookingsWhenGetBookingsByFilterFullName"
"Creates a new booking in the API","3298","Creates a new booking","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldCreateNewBooking"
"Updates a current booking with a partial payload: price and booking dates","967","Partial updates a current booking by price and booking dates","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldPartialUpdatePriceAndDatesBooking"
"A simple health check endpoint to confirm whether the API is up and running.","186","Gets health check endpoint","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnHealthCheckEndpoint"
"Full updates a current booking","831","Full updates a current booking","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldFullUpdateBooking"
"Returns the ids of all the bookings that exist within the API","384","Returns all bookings ids","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllBookings"
"Returns not found the bookings by full name","217","Returns not found the bookings by full name","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundUserBookingsWhenGetBookingsByFilterFullName"
"Deletes a booking from the API. Requires an authorization token to be set in the header or a Basic auth header","3553","Deletes a booking","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldDeleteBooking"
"Gets bad credentials error when trying to create a token with an incorrect password","200","Gets bad credentials error when trying to create a token with an incorrect password","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBadCredentialsWhenTryCreateTokenWithIncorrectPassword"
"Returns a specific booking based upon the booking id provided","3253","Returns a booking by id","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBookingByFilterId"
"Try to delete bookings without an auth token","612","Try to delete bookings without an auth token","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldForbidDeleteBookingWithoutAuthToken"
"Returns not found booking by an unexist id","180","Returns not found booking by an unexist id","","2026-07-06","passed","2026-07-06","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundBookingByFilterId"
