"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A simple health check endpoint to confirm whether the API is up and running.","353","Get health check endpoint","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnHealthCheckEndpoint"
"Returns a specific booking based upon the booking id provided","1177","Returns a booking by id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBookingByFilterId"
"Try to delete bookings without an auth token","1495","Try to delete bookings without an auth token","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldForbidDeleteBookingWithoutAuthToken"
"Creates a new auth token to use for access to the PUT and DELETE /booking","368","Creates a new auth token","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnCreatedToken"
"Get bad credentials when try to create token with wrong password","487","Get bad credentials when try to create token with wrong password","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBadCredentialsWhenTryCreateTokenWithWrongPassword"
"Updates a current booking with a partial payload: price and booking dates","1546","Partial updates a current booking by price and booking dates","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldPartialUpdatePriceAndDatesBooking"
"Deletes a booking from the API. Requires an authorization token to be set in the header or a Basic auth header","4339","Deletes a booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldDeleteBooking"
"Returns not found the bookings by full name","400","Returns not found the bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundUserBookingsWhenGetBookingsByFilterFullName"
"Full updates a current booking","1682","Full updates a current booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldFullUpdateBooking"
"Returns not found booking by an unexist id","378","Returns not found booking by an unexist id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundBookingByFilterId"
"Returns the ids of the bookings by full name","3414","Returns bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllUserBookingsWhenGetBookingsByFilterFullName"
"Returns the ids of all the bookings that exist within the API","842","Returns all bookings ids","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllBookings"
"Creates a new booking in the API","1156","Creates a new booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldCreateNewBooking"
