"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Creates a new booking in the API","589","Creates a new booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldCreateNewBooking"
"Deletes a booking from the API. Requires an authorization token to be set in the header or a Basic auth header","3260","Deletes a booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldDeleteBooking"
"A simple health check endpoint to confirm whether the API is up and running.","151","Gets health check endpoint","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnHealthCheckEndpoint"
"Gets bad credentials error when trying to create a token with an incorrect password","194","Gets bad credentials error when trying to create a token with an incorrect password","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBadCredentialsWhenTryCreateTokenWithIncorrectPassword"
"Returns not found booking by an unexist id","164","Returns not found booking by an unexist id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundBookingByFilterId"
"Returns not found the bookings by full name","191","Returns not found the bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundUserBookingsWhenGetBookingsByFilterFullName"
"Updates a current booking with a partial payload: price and booking dates","752","Partial updates a current booking by price and booking dates","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldPartialUpdatePriceAndDatesBooking"
"Returns the ids of the bookings by full name","1230","Returns bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllUserBookingsWhenGetBookingsByFilterFullName"
"Returns the ids of all the bookings that exist within the API","397","Returns all bookings ids","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllBookings"
"Returns a specific booking based upon the booking id provided","755","Returns a booking by id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBookingByFilterId"
"Try to delete bookings without an auth token","677","Try to delete bookings without an auth token","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldForbidDeleteBookingWithoutAuthToken"
"Creates a new auth token to use for access to the PUT and DELETE /booking","180","Creates a new auth token with valid credentials","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnCreatedToken"
"Full updates a current booking","788","Full updates a current booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldFullUpdateBooking"
