"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A simple health check endpoint to confirm whether the API is up and running.","50","Get health check endpoint","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnHealthCheckEndpoint"
"Returns a specific booking based upon the booking id provided","231","Returns a booking by id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBookingByFilterId"
"Get bad credentials when try to create token with wrong password","208","Get bad credentials when try to create token with wrong password","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnBadCredentialsWhenTryCreateTokenWithWrongPassword"
"Try to delete bookings without an auth token","230","Try to delete bookings without an auth token","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldForbidDeleteBookingWithoutAuthToken"
"Returns not found the bookings by full name","88","Returns not found the bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundUserBookingsWhenGetBookingsByFilterFullName"
"Creates a new booking in the API","212","Creates a new booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldCreateNewBooking"
"Returns the ids of the bookings by full name","566","Returns bookings by full name","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllUserBookingsWhenGetBookingsByFilterFullName"
"Updates a current booking with a partial payload: price and booking dates","286","Partial updates a current booking by price and booking dates","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldPartialUpdatePriceAndDatesBooking"
"Deletes a booking from the API. Requires an authorization token to be set in the header or a Basic auth header","2579","Deletes a booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldDeleteBooking"
"Creates a new auth token to use for access to the PUT and DELETE /booking","59","Creates a new auth token","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnCreatedToken"
"Returns not found booking by an unexist id","59","Returns not found booking by an unexist id","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnNotFoundBookingByFilterId"
"Full updates a current booking","420","Full updates a current booking","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldFullUpdateBooking"
"Returns the ids of all the bookings that exist within the API","167","Returns all bookings ids","","2026-07-03","passed","2026-07-03","","tests.RestfulBookingTests","tests.RestfulBookingTests","shouldReturnAllBookings"
